16	
166 455	300
205 455	300
205 445	300
215 445	300
215 432	300
209 432	300
209 428	300
202 428	300
202 423	300
168 423	300
168 428	300
162 428	300
162 432	300
156 432	300
156 445	300
166 445	300
16	
286 455	300
325 455	300
325 445	300
335 445	300
335 432	300
329 432	300
329 428	300
322 428	300
322 423	300
288 423	300
288 428	300
282 428	300
282 432	300
276 432	300
276 445	300
286 445	300
7	
207 466	300
207 476	300
222 476	300
226 480	300
230 476	300
234 476	300
234 466	300
7	
258 466	300
258 476	300
262 476	300
265 480	300
269 476	300
285 476	300
285 466	300
4	
292 412	300
311 412	300
311 397	300
291 397	300
4	
266 328	300
266 344	300
309 344	300
309 328	300
4	
196 328	300
239 328	300
239 344	300
196 344	300
14	
321 322	300
334 322	300
334 326	300
412 326	300
412 326	300
412 344	300
391 342	300
391 346	300
383 346	300
383 346	300
383 341	300
334 341	300
334 345	300
321 345	300
4	
321 374	300
367 374	300
367 355	300
321 355	300
4	
372 354	300
372 374	300
416 374	300
416 354	300
4	
331 386	300
331 403	300
368 403	300
368 386	300
4	
372 385	300
372 403	300
415 403	300
415 384	300
4	
349 408	300
337 408	300
337 424	300
349 424	300
4	
353 408	300
353 424	300
365 424	300
365 408	300
4	
351 427	300
351 436	300
365 436	300
365 427	300
9	
370 411	300
370 444	300
378 444	300
384 440	300
388 431	300
384 431	300
384 420	300
381 420	300
381 411	300
4	
118 384	300
118 372	300
84 372	300
84 384	300
4	
84 384	300
100 384	300
100 391	300
84 391	300
8	
84 391	300
171 391	300
171 423	300
95 423	300
95 409	300
134 409	300
134 403	300
84 403	300
4	300
137 403	300
137 409	300
168 409	300
168 403	300
6	
118 372	300
118 382	300
128 382	300
128 379	300
122 379	300
121 377	300
20	
122 368	300
122 379	300
171 379	300
171 325	300
126 325	300
126 319	300
106 319	300
106 326	300
103 326	300
103 318	300
91 317	300
91 325	300
81 325	300
81 339	300
87 335	300
87 361	300
102 361	300
102 365	300
161 364	300
161 368	300
4	
139 336	300
139 352	300
161 352	300
161 336	300
4	
71 387	300
55 387	300
55 421	300
71 421	300
4	
74 379	300
37 379	300
37 369	300
74 369	300
4	
77 355	300
35 355	300
35 341	300
77 341	300
4	
77 338	300
45 338	300
45 322	300
77 322	300
4	
143 274	300
143 298	300
239 298	300
239 274	300
4	
143 236	300
143 260	300
239 260	300
239 236	300
4	
254 236	300
254 260	300
350 260	300
350 236	300
4	
254 274	300
254 298	300
350 298	300
350 274	300
4	
135 305	300
135 288	300
88 288	300
88 305	300
4	
69 282	300
39 282	300
39 267	300
69 267	300
8	
76 267	300
86 277	300
103 277	300
112 266	300
112 251	300
102 241	300
86 241	300
76 251	300
4	
371 241	300
435 241	300
435 224	300
371 224	300
4	
365 273	300
365 308	300
407 308	300
407 273	300
9	
389 268	300
389 248	300
435 248	300
435 267	300
427 267	300
427 262	300
407 262	300
407 268	300
389 268	300
4	
421 291	300
421 308	300
433 308	300
433 291	300
4	
421 270	300
421 289	300
440 289	300
440 270	300
8	
424 312	300
424 320	300
431 320	300
431 323	300
438 323	300
438 310	300
432 310	300
432 312	300
6	
374 218	300
408 221	300
442 221	300
442 214	300
402 213	300
375 211	300
4	
375 176	300
439 183	300
440 163	300
376 156	300
4	
372 203	300
446 211	300
447 194	300
374 187	300
6	
375 150	300
457 156	300
461 114	300
451 113	300
448 146	300
375 139	300
4	
400 99	300
398 135	300
414 135	300
416 100	300
6	
467 98	300
395 91	300
394 94	300
369 92	300
370 76	300
468 84	300
4	
451 97	300
451 104	300
464 109	300
464 98	300
4	
154 62	300
193 62	300
193 102	300
154 102	300
4	
370 36	300
369 61	300
383 61	300
383 36	300
4	
389 34	300
388 62	300
408 64	300
408 36	300
4	
386 31	300
414 33	300
413 18	300
387 17	300
4	
371 26	300
370 32	300
382 32	300
382 20	300
6	
314 45	300
314 106	300
353 105	300
353 97	300
359 97	300
359 44	300
21	
262 65	300
262 78	300
266 78	300
270 81	300
270 91	300
276 97	300
288 101	300
298 100	300
298 98	300
306 93	300
306 81	300
309 81	300
309 68	300
301 68	300
301 55	300
294 49	300
283 49	300
284 47	300
273 47	300
265 53	300
265 66	300
10	
197 102	300
231 102	300
231 50	300
226 50	300
226 47	300
223 47	300
223 43	300
191 42	300
191 57	300
197 57	300
4	
67 51	300
134 51	300
134 64	300
66 64	300
4	
67 71	300
133 71	300
133 82	300
67 82	300
4	
46 103	300
46 116	300
67 116	300
67 103	300
10	
67 97	300
67 123	300
105 123	300
105 110	300
96 110	300
96 97	300
91 97	300
91 110	300
73 110	300
73 97	300
12	
62 129	300
62 133	300
46 133	300
46 137	300
63 137	300
64 148	300
98 148	300
98 142	300
102 142	300
102 135	300
97 135	300
97 129	300
4	
40 153	300
106 153	300
106 189	300
41 188	300
4	
40 191	300
76 191	300
76 209	300
40 209	300
4	
40 212 	300
76 212	300
76 232	300
42 232	300
8	
76 216	300
89 212	300
89 210	300
103 210	300
103 232	300
89 232	300
89 227	300
76 228	300
4	
120 128	300
170 128	300
170 157	300
120 157	300
10	
120 165	300
120 204	300
130 204	300
130 193	300
142 193	300
142 204	300
152 204	300
152 192	300
170 192	300
170 165	300
4	
309 129	300
309 216	300
340 216	300
340 129	300
8	
262 189	300
301 189	300
305 184	300
305 171	300
300 167	300
270 167	300
258 179	300
258 185	300
4	
195 140	300
215 158	300
236 139	300
215 119	300
7	
259 133	300
300 133	300
305 137	300
305 151	300
300 155	300
270 155	300
259 145	300
24	
201 173	300
197 177	300
197 188	300
201 192	300
205 190	300
209 194	300
206 198	300
210 202	300
222 202	300
225 198	300
223 194	300
228 190	300
231 193	300
234 189	300
234 178	300
231 173	300
227 175	300
223 172	300
225 168	300
221 164	300
210 164	300
206 168	300
209 171	300
204 175	300
